X,Y
0,5.561121091067476
1,0.5
2,9.57047427369417
3,28.793819131848366
4,8.986412845442265
5,7.487314065858087
6,7.172897689411304
7,7.551101685512643
8,9.95957675014407
9,7.942783399657019
10,7.912390615451239
11,6.051456925822274
12,7.542468524679149
13,8.955941513905533
14,7.4423993890699105
15,9.33079086099429
16,9.121892397106986
17,6.515270820906201
18,5.627155893861488
19,7.331423619777776
20,6.98081197202759
21,8.125575013565367
22,5.939924829514822
23,8.818127383336153
24,9.672970481078304
