(-10.948191028837494, 7.756183249499997)
(-7.166791864890298, 10.25012775151056)
(-9.127038031049185, 9.464630476962848)
(-1.0409484125089126, 3.8799003265754286)
(-9.262579183060176, 15.972000348182203)
(-12.461225214776098, 12.86503088257001)
(-8.616280779824631, 11.130238253162904)
(-11.24549288874822, 10.958011740209615)
(-4.901792512937359, 0.9008050856837766)
(-7.813900960082505, 13.441455852999063)
(-9.715672513562701, 13.72081177158911)
(-12.261484684590712, 11.12978553431396)
(-16.9075481367349, 8.556926998422785)
(-12.594371285779907, 11.808364535958066)
(-11.684388558159071, 10.762351689464715)
(-10.38312785193395, 12.314367713657424)
(-9.694685411053197, 9.994630964574775)
(-13.905452062823809, 11.932528904676268)
(-12.373725864859926, 7.265855268041296)
(-15.902447006871842, 8.446553468269503)
