(-17.214543771528355, 10.62656202081219)
(-21.89151874101759, 3.2111947033063837)
(-9.518679221922774, 12.554101094376772)
(-13.779521872946027, 4.090171885265962)
(-15.228551233082403, 9.711200026492744)
(-11.099338202806571, 12.88115952940495)
(-9.52410812211112, 12.378695995568224)
(-12.725746435904066, 8.961814185410685)
(-2.0919824132380946, 19.731096345563863)
(-14.46293166358928, 4.801675051803887)
(-17.485433795205715, 3.6804780205865475)
(-14.543110413372707, 9.03967516404413)
(-7.939908114983217, 18.118940773619677)
(-19.370957315314172, 8.982137277095529)
(-17.337347294883017, 6.662739913383313)
(-12.083540241162295, 15.077527638269276)
(-5.544524800848833, 11.632212893312007)
(-14.980445265374641, 13.310109810053461)
(-10.887303034548196, 3.1542259679323053)
(-12.338429223212817, 9.736433134791513)
