(-0.765648274376753, 8.67795557270818)
(-6.230190579812263, 3.505858243214087)
(-5.102761289925926, 1.6226288244725895)
(-1.912394684314769, 5.242634786244133)
(-2.4412460202901354, 1.0138839840373037)
(-3.2661027241177853, 4.159804736627464)
(-2.274683402666263, 1.0817554175285617)
(-1.504325824021987, 7.664309655027728)
(-2.9637929684224913, 2.2918292873711934)
(-3.2538947304273886, 6.104816580796502)
(-1.6244698327067022, 3.439033253547618)
(-2.449404297946625, 3.0204889185416395)
(-6.366050923724936, 1.3448539058830726)
(-2.315330366517527, 2.5314197405101746)
(-1.1283740684442907, 10.658023530326137)
(-4.063031941107559, 3.1275908639238246)
(-1.8457495305579863, 2.1870991009583385)
(-2.431381705784963, 3.466978361832269)
(-1.7203603655434654, 1.3460166188652853)
(-1.4443331276622247, 10.609889338731252)
