(-1.4591727088890203, 9.97274183889851)
(-1.1901394766112576, 4.470901194437719)
(-8.781151547756885, 0.5756110723742334)
(-7.883231859920151, 2.462949923427278)
(-4.045804767838697, 2.175032113271446)
(-1.0367944559637088, 5.006778326751869)
(-7.975427791024673, 3.4768896154839988)
(-4.915483862474444, 5.445753663608336)
(-1.7544333947841475, 7.602112725257019)
(-1.536151724605726, 4.941029696252557)
(-1.2876740568617036, 4.2098187049404014)
(-1.4595436852009538, 7.469662531409492)
(-11.967690780783762, 1.3091426865531735)
(-6.087516919227144, 6.4820079648533)
(-8.95590469657863, 1.512033249674844)
(-1.6474885196811166, 6.825094597423782)
(-2.258507765791559, 5.733212436866739)
(-3.2631335955134904, 5.864375199382447)
(-10.513440467814751, 1.6301226819587042)
(-6.113331738204131, 6.443776995186621)
