X,Y
0.52,0.97
-0.11,-1.32
1.72,1.06
-0.78,2.53
0.66,-0.31
-1.12,1.63
-0.09,0.00
1.01,-1.06
-0.17,0.40
1.50,0.79
-0.00,0.56
0.80,1.29
-0.70,0.03
-1.23,2.37
-1.06,-1.14
0.62,0.45
6.88,-2.26
7.11,-1.62
4.99,0.05
6.30,0.45
7.27,-0.65
6.03,-0.57
7.27,0.68
7.28,-2.01
5.80,-1.20
6.64,-1.03
7.68,-0.61
7.36,-2.31
7.09,-1.31
5.16,-0.65
7.25,-1.38
5.97,-1.02
7.27,-1.38
13.01,-3.94
13.02,-1.75
13.34,-1.73
13.53,-3.46
13.32,-1.26
13.47,-3.30
13.35,-1.18
13.85,-1.15
15.03,-1.76
14.37,-1.32
-2.57,2.57
22.06,-3.23
